Term,Term-id,Term-frequency
disrespectful,4333,1
stem,4516,3
earn,6936,1
step,2596,8
youi,4206,1
matched,366,2
yildnmnzde,5344,1
nice,356,45
deregulate,5218,1
countries,3214,3
tonights,3796,11
gvmnt,6002,1
countriesthat,2894,1
matches,3435,7
nominee,2544,4
crushing,2423,1
offhappy,8141,1
gonna,352,92
polysci,1151,1
awfully,5707,1
responsibility,4743,2
podiums,6148,2
attentive,3136,1
victimized,2495,1
vote,747,156
#professional,3438,3
hominen,4579,1
absurd,4346,1
softballs,8349,1
lolol,1998,3
blood,1431,6
goodnight,4960,1
yup,3440,3
tuitions,748,2
nick,6715,1
iniciar,6009,1
yuh,2528,1
begining,6262,1
surprise,7128,2
offered,2794,4
god,1272,20
coordination,8027,1
debatemany,3697,1
bullshitter,1843,2
irrelevant,1645,1
messages,5306,1
american,883,66
systemto,8402,1
depending,4773,1
#occupythedebates,140,2
definitely,1060,11
gne,3400,1
whatever,1766,11
weed,2586,2
dressed,3434,2
attractiveand,6682,1
romneywhat,7660,1
outoftouch,5106,1
aliens,7346,1
americai,1804,1
antiteachers,3684,1
repeated,4837,1
grabbed,2887,13
challenge,2555,1
lighting,2469,2
reckless,5067,1
#happy20thanniversary,5596,1
#cmonman,7187,1
sorry,801,33
week,3623,5
#cnbc,8284,1
#edreform,6754,1
percent,2025,2
niga,6999,1
taylor,7802,1
yrs,1929,13
oompa,7143,1
bimbo,7946,1
empathy,1851,6
discussions,5001,3
solarwind,653,1
#teamhighschoolgraduate,3540,1
voor,7256,1
#letsstaytogether,7176,1
control,33,10
imagine,43,23
#romney,104,282
whiteboy,5194,1
economy,665,69
rosieelisabeth,4570,1
#vvmsgov,2159,1
dove,5744,1
nauseous,8452,1
#latism,2612,3
economa,5463,1
#twitter,7097,1
goo,3969,1
gon,761,6
gop,2342,12
helpy'all,3196,1
got,70,129
gov,2281,34
anniversaryri,2595,1
antes,8300,1
portugus,6838,1
struck,4614,3
dose,5662,1
sincerity,7978,1
mccain,1042,6
#copolitics,1734,2
attention,2640,21
sounds,233,53
argue,5041,1
accounts,4455,4
itty,1090,1
tricks,3042,1
bovine,2322,1
anniversaryso,2715,1
oops,3215,4
#fuckyoumichele,8114,1
yoo,8486,1
niet,7274,1
sexiest,8405,1
schools#fail,3598,1
#wiunion,7115,1
ordered,6571,1
learned,4272,1
dayton,3622,16
knoester,4898,1
actual,2401,11
weak,2667,8
latest,7416,1
wear,1396,11
comedian,3101,2
involvement,3114,1
#tlot,1068,4
earthhappy,7608,1
romneyawesome,1739,1
#worstrepublicanever,8183,1
kanye,2784,4
people,17,223
jerkoff,3716,1
meandmichelle,4011,1
candy,2767,1
outsourcer,3899,1
parks,6467,1
antagonise,4937,1
games,1505,7
stymied,6152,1
outsourced,7729,1
gretchen,7037,1
mainly,6330,1
presidental,5291,1
#cnbc2012,1512,4
touting,7362,1
starving,8490,1
chicago's,1909,1
iight,1993,1
alcohol,3479,4
syndrome,6734,1
suddenly,4997,2
latehe,5794,1
