Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore
tax ,5.718614,221.000000,95.000000,2.326316
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
make ,3.764399,169.000000,77.000000,2.194805
tax ,5.718614,221.000000,95.000000,2.326316
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
smirking ,0.921274,17.000000,9.000000,1.888889
obama like ,27.990134,2996.000000,1181.000000,5.268655
smirked ,0.000000,1.000000,1.000000,1.000000
piss poor speech ,3.573438,71.000000,32.000000,6.979638
gave right ,4.762564,228.000000,80.000000,5.131579
libya ,0.000000,1.000000,1.000000,1.000000
mitt romney shut ,54.540161,7970.000000,2656.000000,7.819822
obama ,15.681776,1709.000000,751.000000,2.275632
obvi ,0.000000,1.000000,1.000000,1.000000
fab ,0.000000,1.000000,1.000000,1.000000
make ,3.764399,169.000000,77.000000,2.194805
investments ,1.205424,16.000000,9.000000,1.777778
solar ,1.852378,28.000000,16.000000,1.750000
mean #obama ,6.596398,302.000000,128.000000,4.331429
campaign contributors ,1.173248,28.000000,10.000000,4.888889
industry ,2.443573,74.000000,31.000000,2.387097
hose taxpayers ,0.000000,4.000000,2.000000,4.000000
watching ,3.296717,158.000000,107.000000,1.476636
debate ,7.669656,432.000000,239.000000,1.807531
important political tools ever ,4.768225,143.000000,60.000000,10.737255
bottle ,1.320144,9.000000,8.000000,1.125000
mark ,0.619532,3.000000,3.000000,1.000000
rowdy dude ,1.531060,47.000000,23.000000,4.045455
first crucial observation obama's suit looks ,11.974064,798.000000,250.000000,21.000780
bit big ,2.819849,58.000000,24.000000,4.504202
taking tips ,1.772987,16.000000,10.000000,3.500000
paul ryan ,3.481389,71.000000,29.000000,4.934344
obama ,15.681776,1709.000000,751.000000,2.275632
great speaker ,2.052082,48.000000,23.000000,4.090909
believe ,1.938674,66.000000,35.000000,1.885714
word ,1.573048,36.000000,22.000000,1.636364
says ,3.778903,243.000000,87.000000,2.793103
huge crush ,1.723021,26.000000,11.000000,5.000000
